DORCode,LEACode,Municipality,County,CherrySheetFY,Population,DORIncome,DORIncomePerCapita,EQV,EQVPerCapita
120,120,Hampden,HAMPDEN,2023,"4,966","229,631,000","46,241","662,234,900","133,354"
121,121,Hancock,BERKSHIRE,2023,757,"11,350,000","14,993","322,918,000","426,576"
122,122,Hanover,PLYMOUTH,2023,"14,833","850,059,000","57,309","3,073,778,500","207,226"
123,123,Hanson,PLYMOUTH,2023,"10,639","422,602,000","39,722","1,526,710,200","143,501"
124,124,Hardwick,WORCESTER,2023,"2,667","66,384,000","24,891","270,761,600","101,523"
125,125,Harvard,WORCESTER,2023,"6,851","483,840,000","70,623","1,320,082,000","192,685"
126,126,Harwich,BARNSTABLE,2023,"13,440","560,400,000","41,696","6,396,397,000","475,922"
127,127,Hatfield,HAMPSHIRE,2023,"3,352","133,900,000","39,946","610,123,900","182,018"
128,128,Haverhill,ESSEX,2023,"67,787","2,048,798,000","30,224","7,590,825,800","111,981"
129,129,Hawley,FRANKLIN,2023,353,"7,067,000","20,020","51,879,800","146,968"
